"time","root.devdb.i483.sensors.s2510030.SCD41.co2"
2025-06-05 14:38:27,1138
2025-06-05 14:38:42,1137
2025-06-05 14:38:57,1136
2025-06-05 14:39:13,1137
2025-06-05 14:39:28,1136
2025-06-05 14:39:43,1136
2025-06-05 14:39:58,1135
2025-06-05 14:40:13,1133
2025-06-05 14:40:29,1133
2025-06-05 14:40:44,1131
2025-06-05 14:40:59,1130
2025-06-05 14:41:14,1127
2025-06-05 14:41:30,1128
2025-06-05 14:41:45,1127
2025-06-05 14:42:00,1126
2025-06-05 14:42:15,1126
2025-06-05 14:42:30,1126
2025-06-05 14:42:46,1126
2025-06-05 14:43:01,1125
2025-06-05 14:43:16,1122
2025-06-05 14:43:31,1122
2025-06-05 14:43:46,1121
2025-06-05 14:44:02,1121
2025-06-05 14:44:17,1122
2025-06-05 14:44:32,1122
2025-06-05 14:44:47,1122
2025-06-05 14:45:03,1120
2025-06-05 14:45:18,1120
2025-06-05 14:45:33,1121
2025-06-05 14:45:48,1121
2025-06-05 14:46:03,1120
2025-06-05 14:46:19,1119
2025-06-05 14:46:34,1120
2025-06-05 14:46:49,1117
2025-06-05 14:47:04,1117
2025-06-05 14:47:20,1115
2025-06-05 14:47:35,1115
2025-06-05 14:47:50,1115
2025-06-05 14:48:05,1113
2025-06-05 14:48:20,1112
2025-06-05 14:48:36,1109
2025-06-05 14:48:51,1109
2025-06-05 14:49:06,1109
2025-06-05 14:49:21,1108
2025-06-05 14:49:37,1106
2025-06-05 14:49:52,1106
2025-06-05 14:50:07,1106
2025-06-05 14:50:22,1107
2025-06-05 14:50:37,1106
2025-06-05 14:50:53,1104
2025-06-05 14:51:08,1104
2025-06-05 14:51:23,1103
2025-06-05 14:51:38,1101
2025-06-05 14:51:54,1100
2025-06-05 14:52:09,1101
2025-06-05 14:52:24,1101
2025-06-05 14:52:39,1101
2025-06-05 14:52:54,1100
2025-06-05 14:53:10,1099
2025-06-05 14:53:25,1098
2025-06-05 14:53:40,1098
2025-06-05 14:53:55,1097
2025-06-05 14:54:10,1098
2025-06-05 14:54:26,1096
2025-06-05 14:54:41,1097
2025-06-05 14:54:56,1095
2025-06-05 14:55:11,1094
2025-06-05 14:55:27,1094
2025-06-05 14:55:42,1093
2025-06-05 14:55:57,1092
2025-06-05 14:56:12,1092
2025-06-05 14:56:27,1090
2025-06-05 14:56:43,1088
2025-06-05 14:56:58,1087
2025-06-05 14:57:13,1088
2025-06-05 14:57:28,1087
2025-06-05 14:57:44,1086
2025-06-05 14:57:59,1084
2025-06-05 14:58:14,1084
2025-06-05 14:58:29,1083
2025-06-05 14:58:44,1082
2025-06-05 14:59:00,1081
2025-06-05 14:59:15,1081
2025-06-05 14:59:30,1081
2025-06-05 14:59:45,1080
2025-06-05 15:00:01,1078
2025-06-05 15:00:16,1078
2025-06-05 15:00:31,1076
2025-06-05 15:00:46,1076
2025-06-05 15:01:01,1075
2025-06-05 15:01:17,1074
2025-06-05 15:01:32,1073
2025-06-05 15:01:47,1074
2025-06-05 15:02:02,1073
2025-06-05 15:02:18,1072
2025-06-05 15:02:33,1070
2025-06-05 15:02:48,1070
2025-06-05 15:03:03,1068
2025-06-05 15:03:18,1069
2025-06-05 15:03:34,1067
2025-06-05 15:03:49,1068
2025-06-05 15:04:04,1067
2025-06-05 15:04:19,1068
2025-06-05 15:04:35,1066
2025-06-05 15:04:50,1066
2025-06-05 15:05:05,1066
2025-06-05 15:05:20,1065
2025-06-05 15:05:35,1065
2025-06-05 15:05:51,1065
2025-06-05 15:06:06,1063
2025-06-05 15:06:21,1061
2025-06-05 15:06:36,1061
2025-06-05 15:06:51,1061
2025-06-05 15:07:07,1060
2025-06-05 15:07:22,1058
2025-06-05 15:07:37,1058
2025-06-05 15:07:52,1058
2025-06-05 15:08:08,1057
2025-06-05 15:08:23,1057
2025-06-05 15:08:38,1057
2025-06-05 15:08:53,1057
2025-06-05 15:09:08,1058
2025-06-05 15:09:24,1057
2025-06-05 15:09:39,1055
2025-06-05 15:09:54,1054
2025-06-05 15:10:09,1054
2025-06-05 15:10:25,1053
2025-06-05 15:10:40,1052
2025-06-05 15:10:55,1051
2025-06-05 15:11:10,1051
2025-06-05 15:11:25,1049
2025-06-05 15:11:41,1048
2025-06-05 15:11:56,1047
2025-06-05 15:12:11,1046
2025-06-05 15:12:26,1045
2025-06-05 15:12:42,1045
2025-06-05 15:12:57,1046
2025-06-05 15:13:12,1045
2025-06-05 15:13:27,1044
2025-06-05 15:13:42,1044
2025-06-05 15:13:58,1044
2025-06-05 15:14:13,1044
2025-06-05 15:14:28,1043
2025-06-05 15:14:43,1042
2025-06-05 15:14:58,1043
2025-06-05 15:15:14,1043
2025-06-05 15:15:29,1043
2025-06-05 15:15:44,1043
2025-06-05 15:15:59,1042
2025-06-05 15:16:15,1042
2025-06-05 15:16:30,1040
2025-06-05 15:16:45,1039
2025-06-05 15:17:00,1036
2025-06-05 15:17:15,1036
2025-06-05 15:17:31,1036
2025-06-05 15:17:46,1035
2025-06-05 15:18:01,1033
2025-06-05 15:18:16,1033
2025-06-05 15:18:32,1033
