DPS310_temp,DPS310_pres,BH1750_lx,RPR0521RS_lx,RPR0521RS_inf,SCD41_co2,SCD41_temp,SCD41_humidity
22.48,990.88,51.50,50.33,9.44,2462,22.20,75.92
22.48,990.88,51.50,50.34,9.44,2462,22.20,75.86
22.48,990.87,51.61,50.34,9.44,2462,22.20,75.88
22.48,990.87,51.61,50.34,9.44,2462,22.20,75.91
22.48,990.86,51.61,50.35,9.45,2463,22.20,75.90
22.48,990.86,51.61,50.35,9.45,2463,22.21,75.90
22.49,990.86,51.84,50.34,9.45,2463,22.21,75.94
22.50,990.85,51.84,50.66,9.50,2464,22.19,75.90
22.49,990.84,51.73,50.62,9.49,2464,22.20,75.92
22.48,990.84,51.61,50.38,9.46,2465,22.19,75.89
22.49,990.83,51.61,50.40,9.46,2465,22.17,75.88
22.48,990.83,51.73,50.41,9.46,2466,22.19,75.90
22.47,990.82,51.73,50.41,9.46,2466,22.17,75.90
22.47,990.81,51.61,50.40,9.46,2467,22.16,75.91
22.47,990.81,51.61,50.40,9.46,2468,22.16,75.91
22.49,990.81,51.84,50.56,9.49,2469,22.18,75.88
22.49,990.80,52.07,50.69,9.51,2469,22.18,75.90
22.48,990.80,51.84,50.67,9.52,2469,22.18,75.95
22.48,990.79,51.61,50.36,9.46,2474,22.15,75.94
22.47,990.78,51.61,50.36,9.45,2473,22.17,75.99
22.48,990.78,51.61,50.36,9.45,2474,22.19,76.03
22.47,990.77,51.50,50.36,9.45,2474,22.18,75.97
22.46,990.77,51.50,50.35,9.45,2473,22.18,76.07
22.46,990.76,51.50,50.34,9.45,2473,22.20,76.02
22.47,990.75,51.61,50.34,9.45,2472,22.17,76.00
22.47,990.75,51.84,50.65,9.49,2472,22.18,76.01
22.46,990.75,51.73,50.60,9.48,2473,22.18,76.01
22.46,990.74,51.50,50.32,9.43,2473,22.17,76.02
22.45,990.73,51.39,50.31,9.43,2474,22.18,76.04
22.45,990.73,51.39,50.30,9.43,2472,22.17,76.04
22.45,990.72,51.39,50.29,9.43,2472,22.17,76.08
22.46,990.72,51.39,50.29,9.42,2472,22.20,76.07
22.45,990.72,51.39,50.29,9.42,2471,22.20,76.06
22.46,990.72,51.50,50.40,9.45,2472,22.18,76.09
22.45,990.72,51.61,50.56,9.46,2472,22.18,76.10
22.45,990.71,51.50,50.53,9.47,2473,22.17,76.05
22.45,990.71,51.27,50.26,9.40,2474,22.18,76.07
22.44,990.70,51.27,50.25,9.40,2475,22.19,76.08
22.45,990.70,51.27,50.24,9.39,2476,22.17,76.11
22.46,990.70,51.16,50.18,9.38,2476,22.20,76.08
22.46,990.69,51.05,50.16,9.37,2476,22.21,76.13
22.45,990.69,50.94,50.15,9.36,2476,22.20,76.11
22.46,990.69,51.05,50.19,9.37,2477,22.20,76.12
22.46,990.69,51.50,50.48,9.43,2477,22.18,76.10
22.45,990.69,51.39,50.49,9.41,2476,22.17,76.07
22.44,990.68,51.05,50.16,9.36,2475,22.19,76.06
22.45,990.68,51.05,50.16,9.36,2475,22.18,76.08
22.44,990.68,51.05,50.15,9.35,2475,22.19,76.07
22.44,990.67,51.05,50.14,9.34,2475,22.20,76.08
22.44,990.67,50.94,50.16,9.34,2477,22.19,76.04
22.43,990.67,51.05,50.15,9.34,2476,22.20,76.04
22.44,990.67,51.16,50.23,9.36,2478,22.20,76.04
22.44,990.67,51.27,50.45,9.38,2480,22.20,76.03
22.43,990.67,51.27,50.43,9.39,2480,22.19,76.02
22.43,990.66,50.94,50.12,9.32,2481,22.19,76.04
22.43,990.67,50.94,50.11,9.32,2483,22.21,76.04
22.43,990.66,50.94,50.10,9.32,2483,22.21,76.04
22.42,990.66,50.94,50.09,9.31,2483,22.19,76.03
22.43,990.66,50.94,50.09,9.31,2484,22.18,76.04
22.42,990.66,50.94,50.08,9.30,2484,22.19,75.97
22.43,990.66,50.94,50.24,9.34,2483,22.20,75.93
22.43,990.66,51.16,50.36,9.36,2482,22.20,75.93
22.43,990.66,51.05,50.38,9.35,2480,22.18,75.86
22.43,990.66,50.82,50.12,9.29,2480,22.18,75.85
22.43,990.66,50.82,50.05,9.30,2479,22.18,75.85
22.43,990.66,50.82,50.05,9.29,2480,22.18,75.81
22.44,990.66,50.82,50.06,9.29,2480,22.17,75.83
22.44,990.66,50.82,50.04,9.29,2480,22.18,75.81
22.43,990.66,50.82,50.04,9.28,2480,22.18,75.86
22.45,990.66,50.94,50.03,9.28,2480,22.20,75.87
22.45,990.66,51.16,50.35,9.33,2481,22.18,75.84
22.45,990.66,51.05,50.31,9.33,2482,22.17,75.81
22.44,990.65,50.82,50.02,9.27,2481,22.16,75.79
22.45,990.65,50.71,50.02,9.27,2480,22.17,75.80
22.44,990.65,50.71,50.02,9.27,2481,22.17,75.78
22.45,990.65,50.71,50.03,9.27,2480,22.13,75.79
22.44,990.65,50.71,50.02,9.27,2481,22.15,75.77
22.44,990.65,50.71,50.02,9.27,2480,22.15,75.74
22.45,990.65,50.82,50.16,9.30,2481,22.17,75.75
22.45,990.65,51.05,50.32,9.32,2481,22.18,75.74
22.45,990.65,51.05,50.31,9.32,2481,22.15,75.69
22.44,990.65,50.71,50.07,9.26,2480,22.15,75.67
22.44,990.65,50.71,50.01,9.26,2479,22.14,75.68
22.44,990.64,50.71,50.01,9.26,2479,22.13,75.67
22.44,990.64,50.71,50.02,9.27,2479,22.13,75.69
22.44,990.64,50.71,50.01,9.26,2479,22.13,75.72
22.44,990.64,50.71,50.00,9.26,2479,22.13,75.72
22.45,990.64,50.82,50.00,9.26,2478,22.14,75.70
22.45,990.64,50.94,50.30,9.32,2479,22.13,75.70
22.45,990.64,50.94,50.29,9.30,2479,22.14,75.67
22.44,990.64,50.71,50.00,9.26,2478,22.14,75.68
22.44,990.63,50.71,50.00,9.25,2478,22.14,75.70
22.45,990.63,50.71,49.98,9.25,2477,22.14,75.70
22.44,990.63,50.71,49.98,9.25,2477,22.12,75.67
22.45,990.63,50.71,49.98,9.25,2477,22.15,75.67
22.45,990.63,50.60,49.98,9.24,2477,22.14,75.66
22.45,990.63,50.71,49.97,9.24,2477,22.12,75.66
22.45,990.63,50.94,50.27,9.30,2476,22.12,75.66
22.45,990.63,50.94,50.27,9.29,2474,22.12,75.66
22.44,990.62,50.60,49.99,9.23,2475,22.12,75.68
22.44,990.62,50.48,49.95,9.23,2476,22.15,75.69
22.43,990.62,50.60,49.94,9.23,2478,22.11,75.67
22.44,990.62,50.48,49.95,9.23,2477,22.11,75.67
22.44,990.62,50.48,49.93,9.22,2477,22.14,75.69
22.43,990.62,50.48,49.93,9.22,2477,22.12,75.66
22.43,990.62,50.60,49.92,9.23,2479,22.14,75.67
22.44,990.62,50.71,50.20,9.29,2480,22.13,75.64
22.45,990.62,50.71,50.19,9.29,2479,22.12,75.64
22.44,990.62,50.48,49.93,9.21,2481,22.12,75.65
22.44,990.62,50.48,49.91,9.21,2481,22.12,75.67
22.44,990.62,50.48,49.91,9.21,2481,22.13,75.66
22.44,990.62,50.48,49.91,9.21,2479,22.11,75.67
22.44,990.62,50.48,49.89,9.20,2480,22.12,75.70
22.44,990.62,50.37,49.88,9.20,2480,22.12,75.70
22.45,990.63,50.48,49.88,9.20,2479,22.11,75.70
22.46,990.63,50.71,50.14,9.26,2480,22.12,75.69
22.45,990.63,50.71,50.13,9.25,2480,22.10,75.70
22.45,990.63,50.37,49.80,9.17,2480,22.10,75.67
22.44,990.64,50.26,49.79,9.17,2480,22.08,75.69
22.45,990.64,50.14,49.77,9.16,2480,22.12,75.72
22.45,990.64,50.14,49.77,9.16,2481,22.10,75.68
22.44,990.64,50.14,49.77,9.15,2481,22.08,75.68
22.44,990.64,50.14,49.77,9.16,2480,22.10,75.75
22.43,990.64,50.26,49.77,9.15,2481,22.11,75.74
22.45,990.65,50.48,50.04,9.21,2482,22.09,75.71
22.44,990.65,50.48,50.04,9.20,2487,22.10,75.72
22.43,990.65,50.14,49.74,9.13,2486,22.12,75.75
22.42,990.66,50.14,49.74,9.13,2488,22.11,75.75
22.43,990.66,50.03,49.73,9.12,2489,22.12,75.77
22.43,990.66,50.03,49.73,9.12,2489,22.10,75.75
22.43,990.66,50.03,49.73,9.12,2491,22.11,75.79
22.43,990.66,50.03,49.72,9.11,2491,22.10,75.77
22.43,990.67,50.14,49.71,9.11,2491,22.10,75.77
22.44,990.67,50.37,49.99,9.17,2493,22.10,75.77
22.43,990.67,50.26,49.99,9.15,2493,22.09,75.74
22.44,990.67,50.03,49.75,9.10,2493,22.12,75.72
22.44,990.68,50.03,49.71,9.10,2493,22.10,75.70
22.44,990.68,50.03,49.70,9.09,2493,22.09,75.70
22.43,990.68,50.03,49.69,9.09,2492,22.10,75.75
22.45,990.68,50.03,49.70,9.09,2492,22.08,75.71
22.44,990.68,50.03,49.66,9.08,2492,22.08,75.72
22.44,990.68,49.92,49.64,9.09,2492,22.08,75.74
22.44,990.68,50.26,49.91,9.14,2492,22.12,75.72
22.44,990.68,50.14,49.93,9.12,2493,22.06,75.73
22.44,990.68,49.92,49.63,9.07,2493,22.09,75.76
22.44,990.68,49.80,49.62,9.06,2492,22.10,75.76
22.44,990.68,49.80,49.62,9.05,2492,22.08,75.75
22.43,990.68,49.80,49.61,9.05,2491,22.09,75.75
22.43,990.68,49.80,49.60,9.05,2491,22.08,75.72
22.43,990.68,49.80,49.60,9.05,2490,22.09,75.78
22.43,990.68,49.80,49.58,9.05,2490,22.08,75.75
22.44,990.68,50.03,49.89,9.09,2490,22.08,75.72
22.43,990.68,50.03,49.89,9.09,2490,22.08,75.75
22.43,990.68,49.80,49.66,9.05,2491,22.09,75.77
22.44,990.68,49.69,49.54,9.03,2490,22.10,75.80
22.44,990.68,49.69,49.54,9.03,2491,22.06,75.81
22.43,990.68,49.69,49.54,9.03,2492,22.08,75.81
22.43,990.68,49.69,49.54,9.02,2492,22.06,75.78
22.43,990.68,49.69,49.53,9.02,2492,22.06,75.77
22.44,990.68,49.69,49.52,9.02,2492,22.08,75.79
22.44,990.68,49.92,49.79,9.07,2492,22.08,75.77
22.43,990.68,49.92,49.80,9.07,2493,22.08,75.76
22.42,990.68,49.69,49.52,9.01,2492,22.07,75.78
22.42,990.68,49.69,49.52,9.00,2491,22.06,75.76
22.43,990.68,49.69,49.52,9.00,2491,22.08,75.79
22.42,990.68,49.69,49.50,9.00,2491,22.09,75.78
22.42,990.68,49.58,49.49,9.00,2491,22.09,75.75
22.42,990.68,49.58,49.51,9.00,2492,22.07,75.75
22.42,990.68,49.58,49.50,9.00,2493,22.09,75.80
22.43,990.68,49.92,49.77,9.05,2493,22.10,75.77
22.43,990.68,49.92,49.77,9.05,2493,22.07,75.77
22.42,990.68,49.58,49.59,9.00,2493,22.09,75.78
22.42,990.68,49.58,49.47,8.98,2493,22.07,75.75
22.42,990.68,49.58,49.47,8.98,2494,22.08,75.77
22.42,990.68,49.46,49.48,8.98,2493,22.08,75.75
22.42,990.68,49.46,49.46,8.97,2494,22.08,75.77
22.42,990.68,49.46,49.45,8.97,2495,22.10,75.74
22.42,990.68,49.46,49.45,8.96,2495,22.09,75.75
22.43,990.68,49.80,49.76,9.02,2495,22.08,75.74
22.43,990.68,49.80,49.73,9.02,2495,22.07,75.78
22.43,990.68,49.46,49.43,8.97,2496,22.12,75.77
22.42,990.68,49.46,49.43,8.96,2496,22.09,75.73
22.43,990.68,49.46,49.42,8.96,2496,22.08,75.73
22.41,990.68,49.46,49.42,8.96,2498,22.10,75.75
22.41,990.69,49.35,49.41,8.96,2500,22.07,75.72
